"Date of Download: 2024-05-09_18:25:51"
"Search Parameters: Data Level:all  Trait List:  Trial List:11752,11828  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","branching level counting|CO_334:0000079","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","lodged plants estimation 1-3|month 6|COMP:0000208","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","139257","CG1141-1","","plot","6761657","202330BCEPR_stom_rep1_CG1141-1_28","1","1","28","2","3","check","","0","1","29.0418918918919","270","10.4166666666667","8","5","2","","","12","10","2","270","40","6","3","1","3","3","4200","315","0","10","1","2","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","139268","CM4919-1","","plot","6761518","202330BCEPR_stom_rep1_CM4919-1_104","1","1","104","7","14","check","","1","1","32.2067716362035","160","12.109375","9.3","5","1","","","12","10","1","270","30","6","3","1","2","3","5000","459","0","10","1","3","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","139299","COL2215","","plot","6761523","202330BCEPR_stom_rep1_COL2215_94","1","1","94","7","4","check","","3","1","36.0015289821999","95","16.015625","12.3","4","1","","","10","10","2","260","20","6","3","1","2","3","4930","548","0","9","1","3","1","1"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","3748257","GM12421A-2","","plot","6761547","202330BCEPR_stom_rep1_GM12421A-2_56","1","1","56","4","5","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003583","GM13914A-2","","plot","6761466","202330BCEPR_stom_rep1_GM13914A-2_79","1","1","79","6","12","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003585","GM13914A-4","","plot","6761419","202330BCEPR_stom_rep1_GM13914A-4_125","1","1","125","9","5","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003586","GM13914A-5","","plot","6761574","202330BCEPR_stom_rep1_GM13914A-5_67","1","1","67","5","7","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003595","GM13915A-5","","plot","6761443","202330BCEPR_stom_rep1_GM13915A-5_14","1","1","14","1","14","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003602","GM13919A-1","","plot","6761548","202330BCEPR_stom_rep1_GM13919A-1_52","1","1","52","4","9","test","","","","","","","","","","","","","10","","","","","","","","","","","","1","","","",""," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11752","202330BCEPR_stom","202330BCEPR_stom","RCBD","3.2","4","","no","no","2023-July-07","2024-April-03","52","Santo Tomas. Atlantico, Colombia","5003604","GM13919A-3","","plot","6761499","202330BCEPR_stom_rep1_GM13919A-3_96","1","1","96","7","6","test","","","","","","","","","","","","","10","","","","","","","","","","","","0","","","",""," (Operator: lizbethpino, Time: )"
