"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_CG1141-1_28",1,28,2,3,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",0,1,29.0418918918919,270,10.4166666666667,8,5,2,NA,NA,12,10,2,270,40,6,3,1,3,3,4200,315,0,10,1,2,1,1,6,100,10.4166666666667,3.02519707207208
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_CM4919-1_104",1,104,7,14,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,32.2067716362035,160,12.109375,9.3,5,1,NA,NA,12,10,1,270,30,6,3,1,2,3,5000,459,0,10,1,3,1,5,6,100,12.109375,3.90003875282152
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_COL2215_94",1,94,7,4,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,36.0015289821999,95,16.015625,12.3,4,1,NA,NA,10,10,2,260,20,6,3,1,2,3,4930,548,0,9,1,3,1,1,6,90,16.015625,5.76586987605545
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM12421A-2_56",1,56,4,5,"test"," (Operator: lizbethpino, Time: )","GM12421A-2","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13914A-2_79",1,79,6,12,"test"," (Operator: lizbethpino, Time: )","GM13914A-2","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13914A-4_125",1,125,9,5,"test"," (Operator: lizbethpino, Time: )","GM13914A-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13914A-5_67",1,67,5,7,"test"," (Operator: lizbethpino, Time: )","GM13914A-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13915A-5_14",1,14,1,14,"test"," (Operator: lizbethpino, Time: )","GM13915A-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13919A-1_52",1,52,4,9,"test"," (Operator: lizbethpino, Time: )","GM13919A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,10,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13919A-3_96",1,96,7,6,"test"," (Operator: lizbethpino, Time: )","GM13919A-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM13919A-5_20",1,20,2,11,"test"," (Operator: lizbethpino, Time: )","GM13919A-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",4,1,NA,90,3.25520833333333,2.5,4,1,NA,NA,8,10,3,290,20,1,3,1,2,3,NA,NA,2,2,1,3,1,5,6,20,3.25520833333333,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14007A-1_39",1,39,3,9,"test"," (Operator: lizbethpino, Time: )","GM14007A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14007A-3_132",1,132,9,12,"test"," (Operator: lizbethpino, Time: )","GM14007A-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",4,2,21.8846613545817,130,11.71875,9,4,1,NA,NA,10,10,3,280,20,2,2,1,2,3,4940,171,0,4,1,2,1,5,6,40,11.71875,2.56460875249004
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14007A-4_122",1,122,9,2,"test"," (Operator: lizbethpino, Time: )","GM14007A-4","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,6,0,NA,NA
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14007A-5_53",1,53,4,8,"test"," (Operator: lizbethpino, Time: )","GM14007A-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,19.3199126637554,100,9.89583333333333,7.6,4,1,NA,NA,9,10,3,260,30,1,2,1,1,3,4670,90,0,1,1,3,1,5,6,10,9.89583333333333,1.91186635735079
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14012A-6_16",1,16,2,15,"test"," (Operator: lizbethpino, Time: )","GM14012A-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,26.132784272051,125,7.29166666666666,5.6,4,1,NA,NA,10,10,3,290,20,3,3,1,2,3,5000,295,2,6,2,3,1,5,6,60,7.29166666666667,1.90551551983705
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14017A-1_31",1,31,3,1,"test"," (Operator: lizbethpino, Time: )","GM14017A-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",1,1,18.1544337606837,225,15.234375,11.7,5,1,NA,NA,10,10,1,300,30,6,3,1,2,3,3790,46,2,9,1,3,4,5,6,90,15.234375,2.76571451822916
2023,"202330BCEPR_stom","202330BCEPR_stom",3.2,4,"2023-July-07","2024-April-03","Santo Tomas. Atlantico, Colombia",NA,"202330BCEPR_stom_rep1_GM14017A-6_108",1,108,8,13,"test"," (Operator: lizbethpino, Time: )","GM14017A-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",3,1,19.0780798208104,155,8.984375,6.9,5,1,NA,NA,10,10,2,300,20,2,3,1,2,3,5000,89,0,2,1,2,1,5,6,20,8.984375,1.71404623390093
